site,price,volume,month,year
Tilbury,188,1193,2,2021
Tilbury,188,1680,3,2021
Tilbury,186,1457,4,2021
Tilbury,186,1082,5,2021
Tilbury,187,1381,6,2021
Tilbury,188,1377,7,2021
Tilbury,186,1459,8,2021
Tilbury,185,1573,9,2021
Tilbury,190,1193,10,2021
Tilbury,189,1400,11,2021
Tilbury,188,1195,12,2021
Tilbury,187,1835,1,2022
Tilbury,210,1376,2,2022
Tilbury,210,1506,3,2022
Tilbury,209,974,4,2022
Tilbury,204,1291,5,2022
Tilbury,205,1847,6,2022
Tilbury,203,1253,7,2022
Tilbury,207,1912,8,2022
Tilbury,205,1283,9,2022
Tilbury,201,1007,10,2022
Tilbury,202,710,11,2022
Tilbury,205,1557,12,2022
Chatham,47,679,2,2021
Chatham,47,717,3,2021
Chatham,46,548,4,2021
Chatham,46,736,5,2021
Chatham,46,855,6,2021
Chatham,46,663,7,2021
Chatham,46,630,8,2021
Chatham,46,1021,9,2021
Chatham,48,648,10,2021
Chatham,48,835,11,2021
Chatham,48,1162,12,2021
Chatham,48,172,1,2022
Chatham,55,838,2,2022
Chatham,55,921,3,2022
Chatham,55,406,4,2022
Chatham,54,674,5,2022
Chatham,54,732,6,2022
Chatham,53,393,7,2022
Chatham,58,708,8,2022
Chatham,57,680,9,2022
Chatham,56,369,10,2022
Chatham,57,535,11,2022
Chatham,58,733,12,2022
London,169,84,2,2021
London,168,100,3,2021
London,167,113,4,2021
London,167,240,5,2021
London,168,147,6,2021
London,168,127,7,2021
London,166,64,8,2021
London,166,65,9,2021
London,175,97,10,2021
London,174,145,11,2021
London,174,418,12,2021
London,173,78,1,2022
London,199,82,2,2022
London,200,45,3,2022
London,199,417,4,2022
London,194,269,5,2022
London,194,90,6,2022
London,193,54,7,2022
London,204,71,8,2022
London,203,55,9,2022
London,199,124,10,2022
London,200,319,11,2022
Windsor,3897,63,2,2021
Windsor,3893,86,3,2021
Windsor,3870,58,4,2021
Windsor,3858,59,5,2021
Windsor,3885,77,6,2021
Windsor,3894,69,7,2021
Windsor,3851,53,8,2021
Windsor,3840,99,9,2021
Windsor,4117,45,10,2021
Windsor,4095,77,11,2021
Windsor,4085,55,12,2021
Windsor,4076,51,1,2022
